
Offer ID,Sponsor Name,Title (English),Title (Localized),Description (English),Description (Localized),Terms and Conditions (English) 'NULLABLE',Terms and Conditions (Localized) 'NULLABLE',Discount Amount 'NULLABLE',Discount Percentage 'NULLABLE',Start Validity Period,End Validity Period,Max Redemptions 'NULLABLE',PromoCode 'NULLABLE'
OFFER-012,Sofitel Cairo Nile El Gezirah,Early Bird Room Offer,عرض الحجز المبكر,Book your room at least 7 days in advance and save 25% off the standard rate.,احجز غرفتك قبل 7 أيام على الأقل ووفر 25% من السعر العادي.,Advance booking of 7+ days required. Non-refundable. Subject to availability.,يشترط الحجز المسبق قبل 7 أيام. غير قابل للاسترداد. يخضع للتوافر.,,25%,01/06/2026,31/12/2026,200,SOFITEL25
OFFER-013,Kempinski Nile Hotel,Fine Dining at Osmanly,تناول الطعام الراقي في عثمانلي,"Enjoy a 3-course dinner for two at the award-winning Osmanly Restaurant for a special price of 1,200 EGP including a welcome drink.","استمتع بعشاء من 3 أطباق لشخصين في مطعم عثمانلي الحائز على جوائز بسعر مميز 1,200 جنيه مع مشروب ترحيبي.",Reservation required. Valid for dinner only (from 7 PM). Not valid on public holidays.,الحجز مطلوب. للعشاء فقط (من 7 مساءً). غير ساري في الأعياد الرسمية.,1200,,01/06/2026,30/09/2026,100,OSMANLY1200
OFFER-014,Kempinski Nile Hotel,Room Upgrade for Tourists,ترقية الغرفة للسياح,"Present your valid tourist/visit visa at check-in and receive a complimentary one-category room upgrade, subject to availability.",قدِّم تأشيرة السياحة أو الزيارة السارية عند تسجيل الدخول واحصل على ترقية مجانية بفئة واحدة للغرفة، يخضع للتوافر.,One upgrade per booking. Subject to availability at check-in. Cannot be combined with other promotions.,ترقية واحدة لكل حجز. يخضع للتوافر عند تسجيل الدخول. لا يُدمج مع عروض أخرى.,0,,01/06/2026,31/12/2026,,KEMPINSKIUP
OFFER-015,Memphis Tours,Pyramids & Egyptian Museum Day Tour,جولة يوم الأهرامات والمتحف المصري,Book our classic Cairo day tour and receive 15% off the published price when you use this promo code.,احجز جولة القاهرة الكلاسيكية ليوم واحد واحصل على خصم 15% من السعر المنشور عند استخدام هذا الرمز الترويجي.,Discount applies to standard day tour package only. Not valid on private or custom tours.,الخصم على باقة الجولة اليومية العادية فقط. غير ساري على الجولات الخاصة أو المخصصة.,,15%,01/06/2026,31/12/2026,250,MEMPHIS15
OFFER-016,Memphis Tours,Nile Cruise Add-On Discount,خصم إضافة رحلة نيلية,Add a Nile cruise to any Cairo tour package and save 200 EGP off the combined booking price.,أضف رحلة نيلية إلى أي باقة جولة قاهرة ووفر 200 جنيه من سعر الحجز المدمج.,Must be booked as a combined package in a single transaction. Cannot be split across multiple bookings.,يجب الحجز كباقة مدمجة في معاملة واحدة. لا يُقسَّم على حجوزات متعددة.,200,,01/06/2026,31/12/2026,150,NILECRUISE200
OFFER-017,El Fishawy Café,Historic Khan El Khalili Tea Set,طقم شاي خان الخليلي التاريخي,Order two hot beverages and receive a complimentary traditional Egyptian pastry sampler on us.,اطلب مشروبين ساخنين واحصل على تشكيلة مجانية من الحلويات المصرية التقليدية على حسابنا.,One pastry sampler per table. Dine-in only.,تشكيلة حلويات واحدة لكل طاولة. للأكل داخل المقهى فقط.,0,,01/06/2026,31/12/2026,600,FISHAWY2TEA
OFFER-018,El Fishawy Café,Tourist Welcome Discount,خصم ترحيب السياح,Show your foreign passport or tourist visa and enjoy 10% off your entire bill.,أرِ جواز سفرك الأجنبي أو تأشيرة سياحتك واستمتع بخصم 10% على فاتورتك كاملة.,Valid with foreign passport or tourist visa only. One use per visit.,ساري بجواز سفر أجنبي أو تأشيرة سياحية فقط. استخدام واحد لكل زيارة.,,10%,01/06/2026,31/12/2026,,TOURIST10
OFFER-019,Café Riche,Intellectual's Afternoon Set,طقم العصاري الثقافي,Order any hot drink and a main dish and receive 50 EGP off your total bill — a nod to our heritage as Cairo's legendary meeting place for artists and thinkers.,اطلب أي مشروب ساخن وطبقاً رئيسياً واحصل على خصم 50 جنيه من إجمالي فاتورتك، تكريماً لإرثنا بوصفنا ملتقى قاهرة الأسطوري للفنانين والمفكرين.,Valid Sun–Thu between 2:00 PM and 6:00 PM only. Dine-in only.,ساري الأحد–الخميس بين 2:00 عصراً و6:00 مساءً فقط. للأكل داخل المقهى فقط.,50,,01/06/2026,31/12/2026,400,RICHE50
OFFER-020,Café Riche,Group Gathering Discount,خصم التجمعات,Groups of 5 or more receive 15% off the total food and beverage bill.,المجموعات المكونة من 5 أشخاص أو أكثر تحصل على خصم 15% على إجمالي فاتورة الطعام والمشروبات.,Minimum 5 guests required. Valid for dine-in only. One discount per group per visit.,يشترط حضور 5 ضيوف كحد أدنى. للأكل داخل المقهى فقط. خصم واحد لكل مجموعة لكل زيارة.,,15%,01/06/2026,31/12/2026,,GROUP15
OFFER-021,Ramasside Tours,Private Cairo Tour Discount,خصم جولة القاهرة الخاصة,Book any private guided Cairo tour and receive 20% off the total price for groups of 2 to 4 people.,احجز أي جولة قاهرة خاصة مع مرشد واحصل على خصم 20% من السعر الكلي لمجموعات من شخصين إلى 4 أشخاص.,"Valid for private tours only. Minimum 2 guests, maximum 4 guests. Advance booking required.",صالح للجولات الخاصة فقط. حد أدنى شخصان وحد أقصى 4 أشخاص. الحجز المسبق مطلوب.,,20%,01/06/2026,31/12/2026,100,RAMTOUR20
OFFER-022,Ramasside Tours,Multi-Day Egypt Package Deal,عرض باقة مصر متعددة الأيام,Book any multi-day Egypt package (3 days or more) and save 500 EGP off the total package price.,احجز أي باقة مصرية متعددة الأيام (3 أيام أو أكثر) ووفر 500 جنيه من السعر الكلي للباقة.,Valid for packages of 3+ days only. Must be booked as a single package transaction. Non-refundable after confirmation.,صالح لباقات 3 أيام أو أكثر فقط. يجب الحجز كمعاملة باقة واحدة. غير قابل للاسترداد بعد التأكيد.,500,,01/06/2026,31/12/2026,80,RAM500PKG
OFFER-023,Steigenberger Hotel El Tahrir,Museum & Stay Package,باقة المتحف والإقامة,Book a 1-night stay and receive complimentary skip-the-line tickets to the Egyptian Museum for two guests (valued at 600 EGP).,احجز ليلة واحدة واحصل على تذكرتَي دخول مجانيتَين لتجاوز الطابور للمتحف المصري لشخصين (بقيمة 600 جنيه).,Tickets valid for the day of check-in or check-out only. Subject to availability.,التذاكر صالحة ليوم تسجيل الدخول أو الخروج فقط. يخضع للتوافر.,600,,01/06/2026,31/12/2026,120,TAHRIR600
OFFER-024,Steigenberger Hotel El Tahrir,Tahrir View Room Offer,عرض غرفة بإطلالة التحرير,Book a Tahrir Square-view room and enjoy 20% off the standard rate for stays of 2 nights or more.,احجز غرفة بإطلالة ميدان التحرير واستمتع بخصم 20% من السعر العادي للإقامات لمدة ليلتين أو أكثر.,Minimum 2-night stay required. Subject to room availability.,يشترط الإقامة ليلتين كحد أدنى. يخضع لتوافر الغرف.,,20%,01/06/2026,31/12/2026,100,TAHRIR20
OFFER-025,Kazaz Restaurant,Shawarma Feast Combo,كومبو وليمة الشاورما,Order 3 shawarma wraps and get the 4th one free.,اطلب 3 لفائف شاورما واحصل على الرابعة مجاناً.,Dine-in and takeaway valid. One free wrap per order.,صالح للأكل داخل المطعم والتيك أواي. لفيفة مجانية واحدة لكل طلب.,0,,01/06/2026,31/12/2026,800,KAZAZ3PLUS1
OFFER-026,Kazaz Restaurant,Lunchtime Rush Discount,خصم غداء ساعة الذروة,Get 10% off any order placed between 12:00 PM and 2:00 PM on weekdays.,احصل على خصم 10% على أي طلب بين 12:00 ظهراً و2:00 مساءً أيام الأسبوع.,"Valid Sun–Thu, 12:00 PM–2:00 PM only.",ساري الأحد–الخميس، 12:00 ظهراً–2:00 مساءً فقط.,,10%,01/06/2026,31/12/2026,,KAZAZ10
OFFER-027,Khufu's Restaurant,Pyramids Sunset Dinner,عشاء غروب الأهرامات,"Book our sunset dining window (5:00 PM–7:00 PM) and enjoy a 3-course meal for two with Pyramid views at a special rate of 1,500 EGP including welcome drinks.","احجز وجبة غروب الشمس (5:00–7:00 مساءً) واستمتع بوجبة من 3 أطباق لشخصين بإطلالة على الأهرامات بسعر مميز 1,500 جنيه مع مشروبات ترحيبية.",Reservation required 24 hours in advance. Valid Fri–Sun only. Includes welcome drinks but excludes alcoholic beverages.,الحجز مطلوب قبل 24 ساعة. ساري الجمعة–الأحد فقط. يشمل مشروبات ترحيبية دون الكحولية.,1500,,01/06/2026,30/09/2026,80,KHUFU1500
OFFER-028,Khufu's Restaurant,Pharaoh's Feast for Groups,وليمة الفرعون للمجموعات,Groups of 6 or more enjoy 15% off the total food bill plus a complimentary group photo with the Pyramids backdrop arranged by our team.,المجموعات من 6 أشخاص أو أكثر تستمتع بخصم 15% على إجمالي فاتورة الطعام مع صورة جماعية مجانية بخلفية الأهرامات ينظمها فريقنا.,Minimum 6 guests required. Photo service subject to staff availability. Reservation required.,يشترط 6 ضيوف كحد أدنى. خدمة الصور تخضع لتوافر الموظفين. الحجز مطلوب.,,15%,01/06/2026,31/12/2026,60,PHARAOH15
OFFER-029,Sachi Restaurant Heliopolis,Chef's Tasting Menu Offer,عرض قائمة تذوق الشيف,"Experience our premium 5-course tasting menu for two at a special rate of 2,000 EGP, saving 400 EGP off the regular price.","جرِّب قائمة تذوق الشيف الراقية من 5 أطباق لشخصين بسعر مميز 2,000 جنيه، وفر 400 جنيه من السعر العادي.",Reservation required at least 24 hours in advance. Excludes beverages.,الحجز مطلوب قبل 24 ساعة على الأقل. لا يشمل المشروبات.,400,,01/06/2026,30/09/2026,60,SACHITASTE
OFFER-030,Sachi Restaurant Heliopolis,Midweek Dining Discount,خصم العشاء منتصف الأسبوع,Enjoy 20% off your total food bill when dining Sunday through Wednesday.,استمتع بخصم 20% على إجمالي فاتورة طعامك عند تناول العشاء من الأحد حتى الأربعاء.,Valid Sun–Wed only. Dine-in only. Excludes beverages and special menu items.,ساري الأحد–الأربعاء فقط. للأكل داخل المطعم فقط. يستثني المشروبات والأصناف الخاصة.,,20%,01/06/2026,31/12/2026,,SACHI20
OFFER-031,Thomas Cook Egypt,Fayoum Day Trip Discount,خصم رحلة الفيوم اليومية,Book any Fayoum day trip package and receive 15% off the per-person price.,احجز أي باقة رحلة يوم الفيوم واحصل على خصم 15% من السعر للفرد.,Minimum 2 passengers per booking. Subject to availability.,حد أدنى راكبان لكل حجز. يخضع للتوافر.,,15%,01/06/2026,31/12/2026,200,TC15FAYOUM
OFFER-032,Thomas Cook Egypt,Egypt Multi-City Package,باقة مدن مصر المتعددة,"Book a multi-city Egypt package covering Cairo, Luxor, and Aswan and save 1,000 EGP off the total package price.","احجز باقة مصر متعددة المدن تشمل القاهرة والأقصر وأسوان ووفر 1,000 جنيه من السعر الكلي للباقة.","Must include all three cities: Cairo, Luxor, and Aswan. Non-refundable after booking confirmation.",يجب أن تشمل المدن الثلاث: القاهرة والأقصر وأسوان. غير قابل للاسترداد بعد تأكيد الحجز.,1000,,01/06/2026,31/12/2026,100,TC1000MULTI
OFFER-033,Fairmont Nile City Hotel,Romantic Nile Getaway,إجازة النيل الرومانسية,Book a Nile-view suite for 2 nights and receive a complimentary bottle of sparkling juice plus in-room romantic décor setup valued at 600 EGP.,احجز جناحاً بإطلالة على النيل لليلتين واحصل على زجاجة عصير فوار مجانية مع ديكور رومانسي داخل الغرفة بقيمة 600 جنيه.,Advance reservation required. Subject to suite availability. Décor setup must be requested at booking.,الحجز المسبق مطلوب. يخضع لتوافر الأجنحة. يجب طلب إعداد الديكور عند الحجز.,600,,01/06/2026,30/09/2026,50,FAIRNILE600
OFFER-034,Fairmont Nile City Hotel,Rooftop Pool Day Pass,تصريح حمام السباحة على السطح,Purchase a rooftop pool day pass for 300 EGP per person and receive a 150 EGP food and beverage credit to use at our poolside bar.,اشترِ تصريح يوم لحمام السباحة على السطح بـ 300 جنيه للفرد واحصل على رصيد طعام ومشروبات بقيمة 150 جنيه تستخدمه في بار حمام السباحة.,Day pass valid from 10:00 AM to 6:00 PM only. F&B credit cannot be exchanged for cash.,تصريح اليوم صالح من 10:00 صباحاً حتى 6:00 مساءً فقط. رصيد الطعام والمشروبات لا يُستبدل بنقود.,150,,01/06/2026,31/12/2026,200,FAIRPOOL300
OFFER-035,Four Seasons Hotel Cairo at Nile Plaza,Nile Plaza Luxury Stay,إقامة نايل بلازا الفاخرة,Book a 2-night stay and receive complimentary daily breakfast for two plus a 500 EGP spa credit per stay.,احجز إقامة ليلتين واحصل على إفطار يومي مجاني لشخصين مع رصيد سبا بقيمة 500 جنيه لكل إقامة.,Spa credit valid during stay only. Breakfast for two guests per room. Non-refundable.,رصيد السبا صالح خلال الإقامة فقط. الإفطار لشخصين لكل غرفة. غير قابل للاسترداد.,500,,01/06/2026,31/12/2026,80,FS500SPA
OFFER-036,Four Seasons Hotel Cairo at Nile Plaza,Advance Booking Reward,مكافأة الحجز المبكر,Book your room at least 14 days in advance and save 25% off the best available rate.,احجز غرفتك قبل 14 يوماً على الأقل ووفر 25% من أفضل سعر متاح.,Minimum 14-day advance booking required. Non-refundable. Cannot be combined with other promotions.,يشترط الحجز المسبق قبل 14 يوماً. غير قابل للاسترداد. لا يُدمج مع عروض أخرى.,,25%,01/06/2026,31/12/2026,150,FS25ADVANCE
OFFER-037,The Nile Ritz-Carlton Cairo,Heritage Luxury Package,باقة الإرث الفاخر,"Stay 3 nights and receive a complimentary guided private tour of the Egyptian Museum for two, arranged by our concierge team (valued at 1,200 EGP).","أقم 3 ليالٍ واحصل على جولة خاصة مجانية مع مرشد إلى المتحف المصري لشخصين ينظمها فريق الكونسيرج (بقيمة 1,200 جنيه).",Tour must be booked via hotel concierge. Minimum 3-night stay required. Subject to availability.,يجب حجز الجولة عبر كونسيرج الفندق. يشترط الإقامة 3 ليالٍ كحد أدنى. يخضع للتوافر.,1200,,01/06/2026,30/09/2026,40,RITZ3NIGHT
OFFER-038,The Nile Ritz-Carlton Cairo,Club Level Upgrade Offer,عرض ترقية مستوى الكلوب,"Book a Deluxe Nile View room and receive a complimentary upgrade to Club Level, including access to the exclusive Club Lounge with daily canapés and beverages.",احجز غرفة ديلوكس بإطلالة على النيل واحصل على ترقية مجانية إلى مستوى الكلوب مع الدخول إلى صالة الكلوب الحصرية بالمقبلات والمشروبات اليومية.,Subject to Club Level room availability at check-in. Non-transferable. One upgrade per booking.,يخضع لتوافر غرف مستوى الكلوب عند تسجيل الدخول. غير قابل للتحويل. ترقية واحدة لكل حجز.,0,,01/06/2026,31/12/2026,60,RITZCLUB
OFFER-039,InterContinental Cairo Semiramis,Sunset Nile Terrace Dining,عشاء تراس النيل عند الغروب,Dine at the iconic Nile Terrace during sunset hours (5:00–8:00 PM) and enjoy 20% off your food bill.,تناول العشاء في تراس النيل الأسطوري خلال ساعات الغروب (5:00–8:00 مساءً) واستمتع بخصم 20% على فاتورة طعامك.,"Valid Fri–Sun, 5:00–8:00 PM only. Dine-in only. Excludes beverages.",ساري الجمعة–الأحد، 5:00–8:00 مساءً فقط. للأكل داخل المطعم فقط. يستثني المشروبات.,,20%,01/06/2026,31/12/2026,200,SEMI20SUNSET
OFFER-040,InterContinental Cairo Semiramis,Stay & Explore Cairo Package,باقة أقم واستكشف القاهرة,"Book 2+ nights and receive a free half-day guided Cairo sightseeing tour for two, arranged by our concierge.",احجز ليلتين أو أكثر واحصل على جولة استكشافية نصف يوم مجانية مع مرشد في القاهرة لشخصين ينظمها كونسيرج الفندق.,Tour arranged by hotel concierge. Must be requested at check-in. Subject to guide availability.,الجولة ينظمها كونسيرج الفندق. يجب الطلب عند تسجيل الدخول. يخضع لتوافر المرشد.,0,,01/06/2026,31/12/2026,100,SEMI2STAY
OFFER-041,Khan El Khalili Restaurant & Naguib Mahfouz Café,Cultural Evening Experience,تجربة أمسية ثقافية,Book a table for two for dinner (minimum spend 600 EGP) and receive a complimentary traditional Arabic coffee and dessert served by our costumed staff.,احجز طاولة لشخصين للعشاء (حد أدنى للإنفاق 600 جنيه) واحصل على قهوة عربية تقليدية وحلوى مجانية يقدمها موظفونا بالزي التراثي.,Minimum spend of 600 EGP required. Reservation required. Dine-in only.,يشترط إنفاق 600 جنيه كحد أدنى. الحجز مطلوب. للأكل داخل المطعم فقط.,0,,01/06/2026,31/12/2026,300,KHALILI600
OFFER-042,Khan El Khalili Restaurant & Naguib Mahfouz Café,Bazaar Explorer Discount,خصم مستكشف البازار,Show your same-day Khan El Khalili shopping receipt (any amount) and enjoy 10% off your total dining bill.,أرِ إيصال تسوقك من خان الخليلي في نفس اليوم (بأي مبلغ) واستمتع بخصم 10% على إجمالي فاتورة طعامك.,Valid with same-day shopping receipt from any Khan El Khalili vendor. One discount per table per visit.,ساري بإيصال تسوق من أي تاجر في خان الخليلي في نفس اليوم. خصم واحد لكل طاولة لكل زيارة.,,10%,01/06/2026,31/12/2026,,BAZAAR10
OFFER-043,Gad Restaurant,Family Meal Deal,وجبة الأسرة,Order any 4 main dishes and get a free family-size soft drink (1.5L) on us.,اطلب أي 4 أطباق رئيسية واحصل على مشروب غازي عائلي مجاني (1.5 لتر) على حسابنا.,One free drink per order of 4+ mains. Valid for dine-in and takeaway.,مشروب مجاني واحد لكل طلب من 4 أطباق أو أكثر. صالح للأكل داخل المطعم والتيك أواي.,0,,01/06/2026,31/12/2026,1000,GAD4FAMILY
OFFER-044,Gad Restaurant,Morning Early Bird Breakfast,إفطار الباكر الصباحي,Order breakfast before 10:00 AM and receive 15% off your total breakfast bill.,اطلب الإفطار قبل 10:00 صباحاً واحصل على خصم 15% على إجمالي فاتورة إفطارك.,"Valid daily, before 10:00 AM only. Dine-in only.",ساري يومياً، قبل 10:00 صباحاً فقط. للأكل داخل المطعم فقط.,,15%,01/06/2026,31/12/2026,,GADEARLY15
OFFER-045,Zitouni Restaurant,Nile View Sunday Brunch,برانش الأحد بإطلالة النيل,"Enjoy our celebrated Sunday brunch with Nile views at a special rate of 850 EGP per person, saving 200 EGP off the regular price.",استمتع ببرانش الأحد الشهير بإطلالة على النيل بسعر مميز 850 جنيه للفرد، وفر 200 جنيه من السعر العادي.,Valid Sundays only. Reservation required 48 hours in advance. Price includes soft beverages only.,ساري أيام الأحد فقط. الحجز مطلوب قبل 48 ساعة. السعر يشمل المشروبات الغازية فقط.,200,,01/06/2026,31/12/2026,60,ZITOUNI850
OFFER-046,Zitouni Restaurant,Weekday Dinner for Two,عشاء يوم الأسبوع لشخصين,Book a weekday dinner table for two and enjoy a complimentary appetizer platter (valued at 300 EGP).,احجز طاولة عشاء ليوم أسبوع لشخصين واستمتع بطبق مقبلات مجاني (بقيمة 300 جنيه).,Valid Sun–Thu only. Reservation required. Dine-in only.,ساري الأحد–الخميس فقط. الحجز مطلوب. للأكل داخل المطعم فقط.,300,,01/06/2026,31/12/2026,120,ZITOUNI300
OFFER-047,Semiramis InterContinental The Grill,Aged Steak Night for Two,ليلة الستيك المعتق لشخصين,"Enjoy a 2-course steak dinner for two including a shared side and one house salad at a special price of 1,800 EGP.","استمتع بعشاء ستيك من طبقين لشخصين مع طبق جانبي مشترك وسلطة البيت بسعر مميز 1,800 جنيه.",Reservation required. Valid for dinner service only (from 7:30 PM). Excludes beverages.,الحجز مطلوب. لخدمة العشاء فقط (من 7:30 مساءً). يستثني المشروبات.,1800,,01/06/2026,30/09/2026,60,GRILL1800
OFFER-048,Semiramis InterContinental The Grill,Hotel Guest Dining Privilege,امتياز طعام نزلاء الفندق,Hotel guests receive 15% off the total food bill at The Grill when showing their room key card.,نزلاء الفندق يحصلون على خصم 15% من إجمالي فاتورة الطعام في ذا جريل عند إبراز بطاقة المفتاح.,Valid for registered hotel guests only. Must present valid room key. Not combinable with other offers.,صالح لنزلاء الفندق المسجلين فقط. يجب تقديم مفتاح الغرفة. لا يُدمج مع عروض أخرى.,,15%,01/06/2026,31/12/2026,,GUESTGRILL15
OFFER-049,Hilton Cairo Heliopolis,Airport Transit Stay Package,باقة الإقامة الترانزيت بالمطار,Book a room for 1 night within 24 hours of an international flight and enjoy 30% off the standard room rate.,احجز غرفة لليلة واحدة خلال 24 ساعة من رحلة دولية واستمتع بخصم 30% من سعر الغرفة العادي.,Must present international flight boarding pass or e-ticket at check-in. Valid for 1-night stays only.,يجب تقديم بطاقة صعود رحلة دولية أو التذكرة الإلكترونية عند تسجيل الدخول. صالح لإقامات ليلة واحدة فقط.,,30%,01/06/2026,31/12/2026,300,HILTON30TRANSIT
OFFER-050,Hilton Cairo Heliopolis,Loyalty Points Bonus Stay,إقامة مكافأة النقاط,Book directly through our website or app and earn double Hilton Honors points on your stay plus a complimentary late checkout until 2:00 PM.,احجز مباشرة عبر موقعنا أو تطبيقنا واكسب ضعف نقاط هيلتون أونرز على إقامتك مع مغادرة مجانية متأخرة حتى 2:00 ظهراً.,Direct booking required. Hilton Honors membership required. Late checkout subject to availability.,الحجز المباشر مطلوب. عضوية هيلتون أونرز مطلوبة. المغادرة المتأخرة يخضع للتوافر.,0,,01/06/2026,31/12/2026,,HILTONDIRECT
OFFER-051,Uber Egypt,First Ride to a Tourist Site,أول رحلة إلى موقع سياحي,Get 50 EGP off your first Uber ride to any registered Rafeeq tourist site in Cairo or Giza.,احصل على خصم 50 جنيه على أول رحلة أوبر إلى أي موقع سياحي مسجل في رفيق بالقاهرة أو الجيزة.,Valid for new Uber users only. One use per account. Applies to UberX and above only.,صالح للمستخدمين الجدد فقط. استخدام واحد لكل حساب. ينطبق على UberX فما فوق فقط.,50,,01/06/2026,31/12/2026,5000,RAFEEQ50
OFFER-052,Uber Egypt,Airport to Hotel Discount,خصم المطار إلى الفندق,"Enjoy 20% off any Uber ride from Cairo International Airport to any hotel in downtown Cairo, Garden City, or Zamalek.",استمتع بخصم 20% على أي رحلة أوبر من مطار القاهرة الدولي إلى أي فندق في وسط القاهرة أو جاردن سيتي أو الزمالك.,Valid for trips from Cairo International Airport only. Applies to UberX and above.,ساري للرحلات من مطار القاهرة الدولي فقط. ينطبق على UberX فما فوق.,,20%,01/06/2026,31/12/2026,3000,CAIROAIRPORT20
